Date;PILIHAN;BREAKFAST;SHIFT 3;SHIFT 1;SHIFT 2
23/11/2023;PILIHAN 1;Nasi Kuning Komplit  (Telur dadar gulung polos, soun cabe ijo, kering   tempe teri kacang, sambal goreng terasi, kerupuk);Nasi Putih, Ayam Keluyuk sc.asem manis, Cah Buncis toge wortel, Oseng Tahu cb.ijo, Bakwan sayur, Kerupuk, Sambal Tomat, Semangka ;Nasi Putih, Opor ayam, Capcay goreng, Sambal goreng kentang, Tempe bacem, Kerupuk, Sambal goreng terasi, Semangka ;Nasi Putih, Ayam Bakar Madu, Sayur asem, Pergedel jagung, kering tempe kacang, Kerupuk, Sambal Tomat, Semangka 
23/11/2023;PILIHAN 2;My Roti Isi Coklat + Telur Rebus* Milo, Kopi, Teh Manis;Nasi Putih, Ikan Mas Gr. Bb. Bali, Cah Buncis toge wortel, Oseng Tahu cb.ijo, Bakwan sayur, Kerupuk, Sambal Tomat, Semangka ;Nasi Putih, Ikan Mas goreng sambal mattah, Capcay goreng, Sambal goreng kentang, Tempe bacem, Kerupuk, Sambal goreng terasi, Semangka ;Nasi Putih, Pepes Ikan Mas, Sayur asem, Pergedel jagung, kering tempe kacang, Kerupuk, Sambal Tomat, Semangka , 
24/11/2023;PILIHAN 1;Soto Ayam Koya, Ayam suwir, tauge, soun, koya, jeruk nipis, sambal  soto, Tempe crispy, kerupuk;Nasi Putih, Omelet mie sosis, Cap Cay Goreng, Tempe goreng ketumbar, Tumis jamur baso, Kerupuk, Sambal Tomat, Pisang;Nasi Putih, Kekkian gulung telur saus tar=-tar, Sup caisim wortel bakso, Bakwan Sayur, Tempe Mendoan, Kerupuk, Sambal Tomat, Pisang;Nasi Putih, Telur Balado Cb.ijo, Gulai dn.singkong, Tempe gr.Bacem, Pergedel kentang, Kerupuk, Sambal Tomat, Pisang
24/11/2023;PILIHAN 2;Masuta Floss abon + telur rebus* Milo, Kopi, Teh Manis;Nasi Putih, Kakap Gr. Tepung Sc. Lada Hitam, Cap Cay Goreng, Tempe goreng ketumbar, Tumis jamur baso, Kerupuk, Sambal Tomat, Pisang;Nasi Putih, Kakap crispy saus padang, Sup caisim wortel bakso, Bakwan Sayur, Tempe Mendoan, Kerupuk, Sambal Tomat, Pisang;Nasi Putih, Kakap Gr. Tepung Sc. Padang, Gulai dn.singkong, Tempe gr.Bacem, Pergedel kentang, Kerupuk, Sambal Tomat, Pisang, 
